task_mode_id,task_id,cell_resource_id,machine_resource_id,duration_15minutes,,,,,
cec8ddbf-6b01-4373-979a-f3ddad94aaf5,37a4ccdb-4e05-46dd-b449-02938841d674,63f736fd-6608-480d-b2a1-6a4ecdc26118,3b765e06-3656-4afa-9975-20e87ded2603,12,,,,,
8d64538a-eadb-4ceb-9154-48961ce02ac4,37a4ccdb-4e05-46dd-b449-02938841d674,7ebfbe72-70de-4613-ae06-c9e1cfbc0a4e,7ebfbe72-70de-4613-ae06-c9e1cfbc0a4e,12,,,,,
f76f7504-b2b4-4e09-8b57-d6a5fa517e23,31735305-30ba-42fd-8c22-1160de2a5689,63f736fd-6608-480d-b2a1-6a4ecdc26118,3b765e06-3656-4afa-9975-20e87ded2603,1,,,,,
a812139c-1fc3-41bc-8f2a-a739a85d2d2d,31735305-30ba-42fd-8c22-1160de2a5689,7ebfbe72-70de-4613-ae06-c9e1cfbc0a4e,7ebfbe72-70de-4613-ae06-c9e1cfbc0a4e,1,,,,,
41ee48c4-cb41-429a-973f-8105129a407a,14eb5511-39e2-4194-93b6-39e2eba7ace2,63f736fd-6608-480d-b2a1-6a4ecdc26118,3b765e06-3656-4afa-9975-20e87ded2603,97,,,,,
00c1313f-a1d0-424d-a018-6ec22b145a88,14eb5511-39e2-4194-93b6-39e2eba7ace2,7ebfbe72-70de-4613-ae06-c9e1cfbc0a4e,7ebfbe72-70de-4613-ae06-c9e1cfbc0a4e,97,,,,,
e2b09f1c-058c-4c3f-b058-5975cfc962d8,7862ce4c-d3f7-408b-a527-7cfbd3378306,63f736fd-6608-480d-b2a1-6a4ecdc26118,3b765e06-3656-4afa-9975-20e87ded2603,4,,,,,
3387fac0-6016-4124-9cee-3b3487486b3b,7862ce4c-d3f7-408b-a527-7cfbd3378306,7ebfbe72-70de-4613-ae06-c9e1cfbc0a4e,7ebfbe72-70de-4613-ae06-c9e1cfbc0a4e,4,,,,,
ab375712-4cbd-4f51-8530-1f10539ee203,7b98342f-525e-49c9-a2be-43f317c5e70f,63f736fd-6608-480d-b2a1-6a4ecdc26118,3b765e06-3656-4afa-9975-20e87ded2603,1,,,,,
ad52f637-26b2-483b-a3c6-91258a98da7d,7b98342f-525e-49c9-a2be-43f317c5e70f,7ebfbe72-70de-4613-ae06-c9e1cfbc0a4e,7ebfbe72-70de-4613-ae06-c9e1cfbc0a4e,1,,,,,
9e97273b-8162-4062-a226-4dc7289df9fb,f076d44c-6cd7-4ad1-ab33-f14731247034,63f736fd-6608-480d-b2a1-6a4ecdc26118,3b765e06-3656-4afa-9975-20e87ded2603,97,,,,,
